x_m,rho_exact,rhoP_exact,U_exact,Us_exact,p_exact,rho_numerical,rhoP_numerical,U_numerical,Us_numerical,p_numerical
2.225,1.0012474853964208,1.0059153981747182,0.0013182661011155138,0.007121299975844336,1.0017464795549893,1.0012479983683,1.006,0.0013336019401685,0.0070787665468217,1.0017252205128
2.235,1.0018371350824486,1.006713265819477,0.0018797155504587388,0.007438715831420065,1.002571989115428,1.0018337559804,1.006,0.0018883245899458,0.0073966358000114,1.0025448881651
2.245,1.0024195344356133,1.0074846392710457,0.002433746621284683,0.007726774474035194,1.0033873482098588,1.0024099455949,1.008,0.0024328528436034,0.0076856316614653,1.0033515700146
2.255,1.0029923849917408,1.0082264742708182,0.0029781728060694693,0.007984339067828774,1.004189338988437,1.0029783376054,1.0070000000000001,0.00296975150954,0.0079450698954322,1.0041477136815
2.265,1.0035534259713965,1.0089358431349622,0.0035108455033864474,0.008210393123019185,1.0049747963599551,1.0035365687064,1.009,0.0034968009072711,0.0081727978645963,1.0049299716041
2.275,1.004100443202149,1.009609946308651,0.0040296624974542694,0.00840404450752485,1.0057406204830084,1.0040791946726,1.009,0.0040081223071208,0.0083689572830069,1.0056906649437
2.285,1.0046312778568969,1.0102461234146263,0.0045325762546223475,0.008564528967802045,1.0064837889996556,1.004603800315,1.01,0.004501299000417,0.0085322500254738,1.0064263724565
2.295,1.0051438349737731,1.0108418637524927,0.005017602004050535,0.008691213145004418,1.0072013689632824,1.0051120189584,1.011,0.0049788131690591,0.0086625043504254,1.0071394857668
2.305,1.0056360917240026,1.0113948162073043,0.0054828255706930555,0.008783597074561056,1.0078905284136037,1.0056030704303,1.011,0.0054404369698943,0.0087587051588396,1.0078290538428
2.315,1.0061061053950828,1.0119027985283422,0.0059264109296727615,0.008841316159308192,1.008548547553116,1.0060723804463,1.012,0.0058813350688543,0.0088205184334482,1.0084885834435
2.325,1.006552021057783,1.01236380594146,0.006346607452232684,0.008864142608387679,1.0091728294808961,1.0065148343673,1.012,0.0062957167391508,0.0088475626558998,1.0091107751104
2.335,1.0069720788867016,1.0127760190610124,0.006741756814667774,0.008851986336233408,1.0097609104413823,1.0069300378835,1.012,0.0066834986028739,0.0088400662315393,1.0096950028243
2.345,1.0073646211054943,1.013137811070139,0.007110299542971093,0.0088048953180979,1.010310469547692,1.0073204674677,1.0130000000000001,0.0070481121366041,0.0087978865922365,1.010244712777
2.355,1.007728098529359,1.0134477541410667,0.0074507811673651565,0.008723055400715902,1.0108193379411026,1.0076872057634,1.0130000000000001,0.0073913881548368,0.0087210390328688,1.0107614017616
2.365,1.0080610766789606,1.013704625070094,0.0077618579624297735,0.008606789568852208,1.011285507350545,1.0080263010249,1.014,0.0077089933433349,0.0086094599623666,1.0112394840819
